"","Country.Region","date","CumCaseNumber","IncCaseNumber","geo","Continent","country_region"
"33971","Nicaragua",2020-10-23,5434,0,"NI","NA","Nicaragua"
"33972","Nicaragua",2020-10-24,5434,0,"NI","NA","Nicaragua"
"33973","Nicaragua",2020-10-25,5434,0,"NI","NA","Nicaragua"
"33974","Nicaragua",2020-10-26,5434,0,"NI","NA","Nicaragua"
"33975","Nicaragua",2020-10-27,5514,80,"NI","NA","Nicaragua"
"33976","Nicaragua",2020-10-28,5514,0,"NI","NA","Nicaragua"
"33977","Nicaragua",2020-10-29,5514,0,"NI","NA","Nicaragua"
"33978","Nicaragua",2020-10-30,5514,0,"NI","NA","Nicaragua"
"33979","Nicaragua",2020-10-31,5514,0,"NI","NA","Nicaragua"
"33980","Nicaragua",2020-11-01,5514,0,"NI","NA","Nicaragua"
"33981","Nicaragua",2020-11-02,5514,0,"NI","NA","Nicaragua"
"33982","Nicaragua",2020-11-03,5514,0,"NI","NA","Nicaragua"
"33983","Nicaragua",2020-11-04,5514,0,"NI","NA","Nicaragua"
"33984","Nicaragua",2020-11-05,5591,77,"NI","NA","Nicaragua"
"33985","Niger",2020-01-23,0,0,"NE","AF","Niger"
"33986","Niger",2020-01-24,0,0,"NE","AF","Niger"
"33987","Niger",2020-01-25,0,0,"NE","AF","Niger"
"33988","Niger",2020-01-26,0,0,"NE","AF","Niger"
"33989","Niger",2020-01-27,0,0,"NE","AF","Niger"
"33990","Niger",2020-01-28,0,0,"NE","AF","Niger"
"33991","Niger",2020-01-29,0,0,"NE","AF","Niger"
"33992","Niger",2020-01-30,0,0,"NE","AF","Niger"
"33993","Niger",2020-01-31,0,0,"NE","AF","Niger"
"33994","Niger",2020-02-01,0,0,"NE","AF","Niger"
"33995","Niger",2020-02-02,0,0,"NE","AF","Niger"
"33996","Niger",2020-02-03,0,0,"NE","AF","Niger"
"33997","Niger",2020-02-04,0,0,"NE","AF","Niger"
"33998","Niger",2020-02-05,0,0,"NE","AF","Niger"
"33999","Niger",2020-02-06,0,0,"NE","AF","Niger"
"34000","Niger",2020-02-07,0,0,"NE","AF","Niger"
"34001","Niger",2020-02-08,0,0,"NE","AF","Niger"
"34002","Niger",2020-02-09,0,0,"NE","AF","Niger"
"34003","Niger",2020-02-10,0,0,"NE","AF","Niger"
"34004","Niger",2020-02-11,0,0,"NE","AF","Niger"
"34005","Niger",2020-02-12,0,0,"NE","AF","Niger"
"34006","Niger",2020-02-13,0,0,"NE","AF","Niger"
"34007","Niger",2020-02-14,0,0,"NE","AF","Niger"
"34008","Niger",2020-02-15,0,0,"NE","AF","Niger"
"34009","Niger",2020-02-16,0,0,"NE","AF","Niger"
"34010","Niger",2020-02-17,0,0,"NE","AF","Niger"
"34011","Niger",2020-02-18,0,0,"NE","AF","Niger"
"34012","Niger",2020-02-19,0,0,"NE","AF","Niger"
"34013","Niger",2020-02-20,0,0,"NE","AF","Niger"
"34014","Niger",2020-02-21,0,0,"NE","AF","Niger"
"34015","Niger",2020-02-22,0,0,"NE","AF","Niger"
"34016","Niger",2020-02-23,0,0,"NE","AF","Niger"
"34017","Niger",2020-02-24,0,0,"NE","AF","Niger"
"34018","Niger",2020-02-25,0,0,"NE","AF","Niger"
"34019","Niger",2020-02-26,0,0,"NE","AF","Niger"
"34020","Niger",2020-02-27,0,0,"NE","AF","Niger"
"34021","Niger",2020-02-28,0,0,"NE","AF","Niger"
"34022","Niger",2020-02-29,0,0,"NE","AF","Niger"
"34023","Niger",2020-03-01,0,0,"NE","AF","Niger"
"34024","Niger",2020-03-02,0,0,"NE","AF","Niger"
"34025","Niger",2020-03-03,0,0,"NE","AF","Niger"
"34026","Niger",2020-03-04,0,0,"NE","AF","Niger"
"34027","Niger",2020-03-05,0,0,"NE","AF","Niger"
"34028","Niger",2020-03-06,0,0,"NE","AF","Niger"
"34029","Niger",2020-03-07,0,0,"NE","AF","Niger"
"34030","Niger",2020-03-08,0,0,"NE","AF","Niger"
"34031","Niger",2020-03-09,0,0,"NE","AF","Niger"
"34032","Niger",2020-03-10,0,0,"NE","AF","Niger"
"34033","Niger",2020-03-11,0,0,"NE","AF","Niger"
"34034","Niger",2020-03-12,0,0,"NE","AF","Niger"
"34035","Niger",2020-03-13,0,0,"NE","AF","Niger"
"34036","Niger",2020-03-14,0,0,"NE","AF","Niger"
"34037","Niger",2020-03-15,0,0,"NE","AF","Niger"
"34038","Niger",2020-03-16,0,0,"NE","AF","Niger"
"34039","Niger",2020-03-17,0,0,"NE","AF","Niger"
"34040","Niger",2020-03-18,0,0,"NE","AF","Niger"
"34041","Niger",2020-03-19,0,0,"NE","AF","Niger"
"34042","Niger",2020-03-20,1,1,"NE","AF","Niger"
"34043","Niger",2020-03-21,1,0,"NE","AF","Niger"
"34044","Niger",2020-03-22,2,1,"NE","AF","Niger"
"34045","Niger",2020-03-23,3,1,"NE","AF","Niger"
"34046","Niger",2020-03-24,3,0,"NE","AF","Niger"
"34047","Niger",2020-03-25,7,4,"NE","AF","Niger"
"34048","Niger",2020-03-26,10,3,"NE","AF","Niger"
"34049","Niger",2020-03-27,10,0,"NE","AF","Niger"
"34050","Niger",2020-03-28,10,0,"NE","AF","Niger"
"34051","Niger",2020-03-29,18,8,"NE","AF","Niger"
"34052","Niger",2020-03-30,27,9,"NE","AF","Niger"
"34053","Niger",2020-03-31,27,0,"NE","AF","Niger"
"34054","Niger",2020-04-01,74,47,"NE","AF","Niger"
"34055","Niger",2020-04-02,98,24,"NE","AF","Niger"
"34056","Niger",2020-04-03,120,22,"NE","AF","Niger"
"34057","Niger",2020-04-04,144,24,"NE","AF","Niger"
"34058","Niger",2020-04-05,184,40,"NE","AF","Niger"
"34059","Niger",2020-04-06,253,69,"NE","AF","Niger"
"34060","Niger",2020-04-07,278,25,"NE","AF","Niger"
"34061","Niger",2020-04-08,342,64,"NE","AF","Niger"
"34062","Niger",2020-04-09,410,68,"NE","AF","Niger"
"34063","Niger",2020-04-10,438,28,"NE","AF","Niger"
"34064","Niger",2020-04-11,491,53,"NE","AF","Niger"
"34065","Niger",2020-04-12,529,38,"NE","AF","Niger"
"34066","Niger",2020-04-13,529,0,"NE","AF","Niger"
"34067","Niger",2020-04-14,570,41,"NE","AF","Niger"
"34068","Niger",2020-04-15,584,14,"NE","AF","Niger"
"34069","Niger",2020-04-16,584,0,"NE","AF","Niger"
"34070","Niger",2020-04-17,627,43,"NE","AF","Niger"
"34071","Niger",2020-04-18,639,12,"NE","AF","Niger"
"34072","Niger",2020-04-19,648,9,"NE","AF","Niger"
"34073","Niger",2020-04-20,648,0,"NE","AF","Niger"
"34074","Niger",2020-04-21,657,9,"NE","AF","Niger"
"34075","Niger",2020-04-22,662,5,"NE","AF","Niger"
"34076","Niger",2020-04-23,671,9,"NE","AF","Niger"
"34077","Niger",2020-04-24,681,10,"NE","AF","Niger"
"34078","Niger",2020-04-25,684,3,"NE","AF","Niger"
"34079","Niger",2020-04-26,696,12,"NE","AF","Niger"
"34080","Niger",2020-04-27,701,5,"NE","AF","Niger"
"34081","Niger",2020-04-28,709,8,"NE","AF","Niger"
"34082","Niger",2020-04-29,713,4,"NE","AF","Niger"
"34083","Niger",2020-04-30,719,6,"NE","AF","Niger"
"34084","Niger",2020-05-01,728,9,"NE","AF","Niger"
"34085","Niger",2020-05-02,736,8,"NE","AF","Niger"
"34086","Niger",2020-05-03,750,14,"NE","AF","Niger"
"34087","Niger",2020-05-04,755,5,"NE","AF","Niger"
"34088","Niger",2020-05-05,763,8,"NE","AF","Niger"
"34089","Niger",2020-05-06,770,7,"NE","AF","Niger"
"34090","Niger",2020-05-07,781,11,"NE","AF","Niger"
"34091","Niger",2020-05-08,795,14,"NE","AF","Niger"
"34092","Niger",2020-05-09,815,20,"NE","AF","Niger"
"34093","Niger",2020-05-10,821,6,"NE","AF","Niger"
"34094","Niger",2020-05-11,832,11,"NE","AF","Niger"
"34095","Niger",2020-05-12,854,22,"NE","AF","Niger"
"34096","Niger",2020-05-13,860,6,"NE","AF","Niger"
"34097","Niger",2020-05-14,876,16,"NE","AF","Niger"
"34098","Niger",2020-05-15,885,9,"NE","AF","Niger"
